trading_date,TF,TL,T,TS
2023-12-06,105.362,100.17000000000002,116.04,104.31899999999999
2023-12-07,105.42699999999999,100.2,116.09500000000001,104.34899999999999
2023-12-08,105.46199999999999,100.21000000000001,116.10000000000001,104.38299999999998
2023-12-11,105.642,100.74000000000001,116.34500000000001,104.44699999999999
2023-12-12,105.597,100.57000000000001,116.305,104.41699999999999
2023-12-13,105.76199999999999,100.92000000000002,116.51500000000001,104.50899999999999
2023-12-14,105.82199999999999,100.96000000000001,116.50500000000001,104.56499999999998
2023-12-15,105.81199999999998,100.95,116.45000000000002,104.54699999999998
2023-12-18,105.88199999999999,101.30000000000001,116.55000000000001,104.59299999999999
2023-12-19,105.877,101.49000000000001,116.57000000000001,104.579
2023-12-20,105.87199999999999,101.67000000000002,116.63000000000001,104.585
2023-12-21,105.80199999999999,101.62,116.49000000000001,104.54299999999999
2023-12-22,106.02699999999999,102.14000000000001,116.78000000000002,104.64899999999999
2023-12-25,106.07199999999999,102.79,116.84500000000001,104.71099999999998
2023-12-26,106.19699999999999,102.91000000000001,116.96000000000001,104.75699999999999
2023-12-27,106.12199999999999,102.41000000000001,116.86500000000001,104.76299999999999
2023-12-28,106.10199999999999,102.4,116.89500000000001,104.77099999999999
2023-12-29,106.16199999999999,102.46000000000001,116.95000000000002,104.75099999999999
2024-01-02,106.067,102.35000000000001,116.83500000000001,104.68299999999999
2024-01-03,106.002,102.07000000000001,116.75000000000001,104.61099999999999
2024-01-04,106.10699999999999,102.62,116.91000000000001,104.67699999999999
2024-01-05,106.17699999999999,103.03000000000002,117.06000000000002,104.69099999999999
2024-01-08,106.07699999999998,102.95,116.99000000000001,104.62499999999999
2024-01-09,106.157,103.39000000000001,117.12500000000001,104.66299999999998
2024-01-10,106.112,103.38000000000001,117.08000000000001,104.62899999999999
2024-01-11,106.10199999999999,103.14000000000001,117.00500000000001,104.61099999999999
2024-01-12,106.04199999999999,102.99000000000001,116.89500000000001,104.63299999999998
2024-01-15,106.082,103.10000000000001,116.9,104.62499999999999
2024-01-16,105.972,103.06,116.85000000000001,104.56499999999998
2024-01-17,106.04199999999999,103.2,116.95000000000002,104.57699999999998
2024-01-18,106.09199999999998,103.52000000000001,116.98500000000001,104.609
2024-01-19,106.15199999999999,103.57000000000001,117.01500000000001,104.63499999999999
2024-01-22,106.17199999999998,104.03000000000002,117.11000000000001,104.61499999999998
2024-01-23,106.13699999999999,104.32000000000001,117.08500000000001,104.63899999999998
2024-01-24,106.142,104.47000000000001,117.12000000000002,104.61899999999999
2024-01-25,106.332,104.23,117.17000000000002,104.713
2024-01-26,106.317,104.38000000000001,117.20000000000002,104.72099999999999
2024-01-29,106.30199999999999,104.4,117.20000000000002,104.71699999999998
2024-01-30,106.502,105.17000000000002,117.48500000000001,104.81899999999999
2024-01-31,106.46699999999998,105.84,117.55000000000001,104.78299999999999
2024-02-01,106.487,105.95,117.60000000000001,104.78899999999999
2024-02-02,106.407,105.95,117.555,104.74499999999999
2024-02-05,106.407,106.26,117.64500000000001,104.74699999999999
2024-02-06,106.41699999999999,106.05000000000001,117.54,104.69899999999998
2024-02-07,106.29199999999999,105.76,117.46000000000001,104.69099999999999
2024-02-08,106.32699999999998,106.05000000000001,117.45000000000002,104.74299999999998
2024-02-19,106.25699999999999,105.78000000000002,117.44000000000001,104.71699999999998
2024-02-20,106.22699999999999,106.02000000000001,117.47500000000001,104.725
2024-02-21,106.29699999999998,106.08000000000001,117.52500000000002,104.75099999999999
2024-02-22,106.34199999999998,106.09,117.61500000000002,104.79699999999998
2024-02-23,106.56199999999998,106.81,117.93000000000002,104.86699999999999
2024-02-26,106.41199999999999,106.78000000000002,117.82000000000002,104.77699999999999
2024-02-27,106.347,107.53000000000002,117.83500000000002,104.767
2024-02-28,106.43199999999999,107.44000000000001,117.90000000000002,104.76899999999999
2024-02-29,106.487,108.02000000000001,118.01000000000002,104.80099999999999
2024-03-01,106.24699999999999,107.51,117.72000000000001,104.71099999999998
2024-03-04,106.332,107.68,117.85500000000002,104.71099999999998
2024-03-05,106.36699999999999,107.53000000000002,117.92000000000002,104.72699999999999
2024-03-06,106.50699999999999,108.08000000000001,118.17500000000001,104.755
